"Stream Type","Task","Score","Units"
"Java Stream","Average (method 1)","0.039","s/op"
"Java Stream","Average (method 2)","0.037","s/op"
"Java Stream","Filtering","0.037","s/op"
"Java Stream","Standard deviation","0.034","s/op"
"Java Stream","Sum","0.040","s/op"
"Java Stream","Multiply by 2","0.128","s/op"
"Parallel Stream","Average (method 1)","0.017","s/op"
"Parallel Stream","Average (method 2)","0.017","s/op"
"Parallel Stream","Filtering","0.009","s/op"
"Parallel Stream","Standard deviation","0.026","s/op"
"Parallel Stream","Sum","0.017","s/op"
"Parallel Stream","Multiply by 2","0.069","s/op"